Date|Close|High|Low|Open|Volume
2016-01-01|105.26|105.26|105.26|105.26|0
2016-01-04|105.35|105.368|102.0|102.61|67649387
2016-01-05|102.71|105.85|102.41|105.75|55790992
2016-01-06|100.7|102.37|99.87|100.56|68457388
2016-01-07|96.45|100.13|96.43|98.68|81094428
2016-01-08|96.96|99.11|96.76|98.55|70798016
2016-01-11|98.53|99.06|97.34|98.97|49739377
2016-01-12|99.96|100.69|98.8399|100.55|49154227
2016-01-13|97.39|101.19|97.3|100.32|62439631
2016-01-14|99.52|100.48|95.74|97.96|63170127
2016-01-15|97.13|97.71|95.36|96.2|79833891
2016-01-18|97.13|97.13|97.13|97.13|0
2016-01-19|96.66|98.65|95.5|98.41|53087747
2016-01-20|96.79|98.1897|93.42|95.1|72334416
2016-01-21|96.3|97.88|94.94|97.06|52161463
2016-01-22|101.42|101.46|98.37|98.63|65800467
2016-01-25|99.44|101.53|99.21|101.52|51794525
2016-01-26|99.99|100.88|98.07|99.93|75077002
2016-01-27|93.42|96.6289|93.34|96.04|133369674
2016-01-28|94.09|94.52|92.39|93.79|55678825
2016-01-29|97.34|97.34|94.35|94.79|64416504
2016-02-01|96.43|96.71|95.4|96.47|40943541
2016-02-02|94.48|96.04|94.28|95.42|37357215
2016-02-03|96.35|96.84|94.08|95.0|45964294
2016-02-04|96.6|97.33|95.19|95.86|46471652
2016-02-05|94.02|96.92|93.69|96.52|46418064
2016-02-08|95.01|95.7|93.04|93.13|54021375
2016-02-09|94.99|95.94|93.93|94.29|44331195
2016-02-10|94.27|96.35|94.1|95.92|42343601
2016-02-11|93.7|94.72|92.59|93.79|50074711
2016-02-12|93.99|94.5|93.01|94.19|40351381
2016-02-15|93.99|93.99|93.99|93.99|0
2016-02-16|96.64|96.85|94.61|95.02|49057916
2016-02-17|98.12|98.21|96.15|96.67|44863243
2016-02-18|96.26|98.89|96.091|98.84|39020983
2016-02-19|96.04|96.7599|95.8|96.0|35374173
2016-02-22|96.88|96.9|95.92|96.31|34280758
2016-02-23|94.69|96.5|94.55|96.4|31942633
2016-02-24|96.1|96.38|93.32|93.98|36255745
2016-02-25|96.76|96.76|95.25|96.05|27582659
2016-02-26|96.91|98.0237|96.58|97.2|28991131
2016-02-29|96.69|98.23|96.65|96.86|35216277
2016-03-01|100.53|100.77|97.42|97.65|50407147
2016-03-02|100.75|100.89|99.64|100.51|33169559
2016-03-03|101.5|101.7099|100.45|100.58|36955742
2016-03-04|103.01|103.75|101.37|102.37|46055100
2016-03-07|101.87|102.83|100.96|102.39|35915810
2016-03-08|101.03|101.76|100.4|100.78|31561889
2016-03-09|101.12|101.58|100.27|101.31|27201683
2016-03-10|101.17|102.24|100.15|101.41|33513576
2016-03-11|102.26|102.28|101.5|102.24|27408237
2016-03-14|102.52|102.91|101.78|101.91|25076062
2016-03-15|104.58|105.18|103.85|103.96|40067734
2016-03-16|105.97|106.31|104.59|104.61|38303493
2016-03-17|105.8|106.47|104.96|105.52|34420705
2016-03-18|105.92|106.5|105.19|106.34|44205171
2016-03-21|105.91|107.65|105.1401|105.93|35502678
2016-03-22|106.72|107.29|105.21|105.25|32444375
2016-03-23|106.13|107.07|105.9|106.48|25703495
2016-03-24|105.67|106.25|104.89|105.47|26132955
2016-03-25|105.67|105.67|105.67|105.67|0
2016-03-28|105.19|106.19|105.06|106.0|19411372
2016-03-29|107.68|107.79|104.88|104.89|31190083
2016-03-30|109.56|110.42|108.6|108.65|45601149
2016-03-31|108.99|109.9|108.88|109.72|25888449
2016-04-01|109.99|110.0|108.2|108.78|25873950
2016-04-04|111.12|112.19|110.27|110.42|37356204
2016-04-05|109.81|110.73|109.42|109.51|26578652
